,psnr,ssim,ms_ssim,mse,perceptual_index,kimianet_similarity,scale_factor,input_resolution,target_resolution
psnr,1.0,0.9300550781195818,0.6419572335525474,-0.7990114947591642,-0.652115863907186,-0.16676712174078698,,-0.8428988385522996,-0.8428988385522996
ssim,0.9300550781195818,1.0,1.0,-0.5202835428473473,-0.646967125910985,0.15779144281306845,,-0.8524252855967834,-0.8524252855967834
ms_ssim,0.6419572335525474,1.0,1.0,-0.5202835428473473,-0.646967125910985,,,0.44765948122751775,0.44765948122751775
mse,-0.7990114947591642,-0.5202835428473473,-0.5202835428473473,1.0,0.8782216328002977,,,-0.5659988739060342,-0.5659988739060342
perceptual_index,-0.652115863907186,-0.646967125910985,-0.646967125910985,0.8782216328002977,1.0,,,-0.5779890371966331,-0.5779890371966331
kimianet_similarity,-0.16676712174078698,0.15779144281306845,,,,1.0,,,
scale_factor,,,,,,,,,
input_resolution,-0.8428988385522996,-0.8524252855967834,0.44765948122751775,-0.5659988739060342,-0.5779890371966331,,,1.0,1.0
target_resolution,-0.8428988385522996,-0.8524252855967834,0.44765948122751775,-0.5659988739060342,-0.5779890371966331,,,1.0,1.0
